  score1=31, score2=25, dur=707.9, team1=chthigpen, team2=ews2011, winner=chthigpen, mtype=rescue_r2, mhash_short=[GRIM-IZZY], mhash_lshort=M-GRIM-IZZY, mhash=mhash=250512-2124M-GRIM-IZZY,utc=1747099492.61
  score1=31, score2=12, dur=950.3, team1=thoma904, team2=jwenger, winner=thoma904, mtype=rescue_r2, mhash_short=[DUMB-KALE], mhash_lshort=V-DUMB-KALE, mhash=mhash=250512-2125V-DUMB-KALE,utc=1747099543.55
  score1=50, score2=2, dur=950.1, team1=bruno752, team2=ews2011, winner=bruno752, mtype=rescue_r2, mhash_short=[DEAD-XAVI], mhash_lshort=K-DEAD-XAVI, mhash=mhash=250512-2126K-DEAD-XAVI,utc=1747099606.60
  score1=39, score2=9, dur=950.2, team1=jwenger, team2=ews2011, winner=jwenger, mtype=rescue_r2, mhash_short=[VAST-ARES], mhash_lshort=H-VAST-ARES, mhash=mhash=250512-2127H-VAST-ARES,utc=1747099669.60
  score1=34, score2=23, dur=652.2, team1=cschnorr, team2=cdembski, winner=cschnorr, mtype=rescue_r2, mhash_short=[WIDE-UNIT], mhash_lshort=R-WIDE-UNIT, mhash=mhash=250512-2128R-WIDE-UNIT,utc=1747099732.53
  score1=32, score2=21, dur=633.7, team1=ews2011, team2=bertucci, winner=ews2011, mtype=rescue_r2, mhash_short=[REAL-MELL], mhash_lshort=F-REAL-MELL, mhash=mhash=250512-2129F-REAL-MELL,utc=1747099780.61
  score1=27, score2=24, dur=547.9, team1=cdembski, team2=cschnorr, winner=cdembski, mtype=rescue_r2, mhash_short=[MEGA-MIKE], mhash_lshort=C-MEGA-MIKE, mhash=mhash=250512-2130C-MEGA-MIKE,utc=1747099827.80
  score1=35, score2=25, dur=660.4, team1=jwenger, team2=cschnorr, winner=jwenger, mtype=rescue_r2, mhash_short=[MEAN-LEGS], mhash_lshort=L-MEAN-LEGS, mhash=mhash=250512-2131L-MEAN-LEGS,utc=1747099870.62
  score1=31, score2=22, dur=950.1, team1=bruno752, team2=bertucci, winner=bruno752, mtype=rescue_r2, mhash_short=[RICH-HANK], mhash_lshort=B-RICH-HANK, mhash=mhash=250512-2131B-RICH-HANK,utc=1747099919.08
  score1=51, score2=2, dur=950.3, team1=bruno752, team2=cdembski, winner=bruno752, mtype=rescue_r2, mhash_short=[SOLE-LEVY], mhash_lshort=D-SOLE-LEVY, mhash=mhash=250512-2133D-SOLE-LEVY,utc=1747099982.01
  score1=29, score2=28, dur=580.6, team1=bertucci, team2=cdembski, winner=bertucci, mtype=rescue_r2, mhash_short=[KEEN-MICK], mhash_lshort=L-KEEN-MICK, mhash=mhash=250512-2134L-KEEN-MICK,utc=1747100045.02
  score1=36, score2=15, dur=540.2, team1=jwenger, team2=adamc710, winner=jwenger, mtype=rescue_r2, mhash_short=[NEXT-MONT], mhash_lshort=I-NEXT-MONT, mhash=mhash=250512-2134I-NEXT-MONT,utc=1747100089.47
  score1=33, score2=21, dur=659.6, team1=cdembski, team2=chthigpen, winner=cdembski, mtype=rescue_r2, mhash_short=[TIDY-SEAM], mhash_lshort=N-TIDY-SEAM, mhash=mhash=250512-2135N-TIDY-SEAM,utc=1747100131.99
  score1=31, score2=17, dur=950.2, team1=jwenger, team2=jcizu690, winner=jwenger, mtype=rescue_r2, mhash_short=[ICED-TEAM], mhash_lshort=H-ICED-TEAM, mhash=mhash=250512-2136H-ICED-TEAM,utc=1747100180.48
  score1=37, score2=12, dur=950.1, team1=thoma904, team2=cdembski, winner=thoma904, mtype=rescue_r2, mhash_short=[BACK-QUAD], mhash_lshort=J-BACK-QUAD, mhash=mhash=250512-2137J-BACK-QUAD,utc=1747100243.43
  score1=30, score2=21, dur=536.4, team1=cdembski, team2=chthigpen, winner=cdembski, mtype=rescue_r2, mhash_short=[BALD-ROME], mhash_lshort=W-BALD-ROME, mhash=mhash=250512-2138W-BALD-ROME,utc=1747100306.43
  score1=39, score2=8, dur=661, team1=jwenger, team2=adamc710, winner=jwenger, mtype=rescue_r2, mhash_short=[REAR-WARP], mhash_lshort=J-REAR-WARP, mhash=mhash=250512-2139J-REAR-WARP,utc=1747100348.68
  score1=15, score2=8, dur=950.3, team1=jwenger, team2=thoma904, winner=jwenger, mtype=rescue_r2, mhash_short=[WISE-SEAN], mhash_lshort=P-WISE-SEAN, mhash=mhash=250512-2139P-WISE-SEAN,utc=1747100397.13
  score1=42, score2=14, dur=950.1, team1=bertucci, team2=chthigpen, winner=bertucci, mtype=rescue_r2, mhash_short=[OPEN-MATT], mhash_lshort=T-OPEN-MATT, mhash=mhash=250512-2141T-OPEN-MATT,utc=1747100460.05
  score1=32, score2=21, dur=529.4, team1=bruno752, team2=cschnorr, winner=bruno752, mtype=rescue_r2, mhash_short=[PUNY-THOM], mhash_lshort=K-PUNY-THOM, mhash=mhash=250512-2142K-PUNY-THOM,utc=1747100522.98
  score1=50, score2=3, dur=950.2, team1=bruno752, team2=adamc710, winner=bruno752, mtype=rescue_r2, mhash_short=[DULL-BEER], mhash_lshort=B-DULL-BEER, mhash=mhash=250512-2142B-DULL-BEER,utc=1747100564.93
  score1=26, score2=20, dur=337.5, team1=chthigpen, team2=jcizu690, winner=chthigpen, mtype=rescue_r2, mhash_short=[ONLY-FOOT], mhash_lshort=D-ONLY-FOOT, mhash=mhash=250512-2143D-ONLY-FOOT,utc=1747100627.84
  score1=31, score2=26, dur=636.4, team1=cschnorr, team2=jcizu690, winner=cschnorr, mtype=rescue_r2, mhash_short=[POOR-SIDE], mhash_lshort=H-POOR-SIDE, mhash=mhash=250512-2144H-POOR-SIDE,utc=1747100660.14
  score1=32, score2=15, dur=597, team1=cdembski, team2=adamc710, winner=cdembski, mtype=rescue_r2, mhash_short=[KIND-KANE], mhash_lshort=W-KIND-KANE, mhash=mhash=250512-2145W-KIND-KANE,utc=1747100707.37
  score1=29, score2=27, dur=950.2, team1=chthigpen, team2=ews2011, winner=chthigpen, mtype=rescue_r2, mhash_short=[RARE-CAGE], mhash_lshort=U-RARE-CAGE, mhash=mhash=250512-2145U-RARE-CAGE,utc=1747100752.61
  score1=44, score2=10, dur=950.3, team1=thoma904, team2=cdembski, winner=thoma904, mtype=rescue_r2, mhash_short=[FIVE-RYAN], mhash_lshort=P-FIVE-RYAN, mhash=mhash=250512-2146P-FIVE-RYAN,utc=1747100815.56
  score1=26, score2=26, dur=437.2, team1=chthigpen, team2=cdembski, winner=chthigpen, mtype=rescue_r2, mhash_short=[RIPE-TICK], mhash_lshort=L-RIPE-TICK, mhash=mhash=250512-2147L-RIPE-TICK,utc=1747100878.49
  score1=51, score2=4, dur=950.3, team1=bruno752, team2=adamc710, winner=bruno752, mtype=rescue_r2, mhash_short=[GOOD-AMES], mhash_lshort=W-GOOD-AMES, mhash=mhash=250512-2148W-GOOD-AMES,utc=1747100915.75
  score1=43, score2=9, dur=950.3, team1=jcizu690, team2=cdembski, winner=jcizu690, mtype=rescue_r2, mhash_short=[GLIB-GIRL], mhash_lshort=Q-GLIB-GIRL, mhash=mhash=250512-2149Q-GLIB-GIRL,utc=1747100978.67
  score1=32, score2=24, dur=950.3, team1=cdembski, team2=ews2011, winner=cdembski, mtype=rescue_r2, mhash_short=[GLUM-JASE], mhash_lshort=J-GLUM-JASE, mhash=mhash=250512-2150J-GLUM-JASE,utc=1747101041.61
  score1=34, score2=21, dur=950.3, team1=jcizu690, team2=chthigpen, winner=jcizu690, mtype=rescue_r2, mhash_short=[LAST-ALAN], mhash_lshort=Q-LAST-ALAN, mhash=mhash=250512-2151Q-LAST-ALAN,utc=1747101104.52
  score1=43, score2=5, dur=950.2, team1=thoma904, team2=ews2011, winner=thoma904, mtype=rescue_r2, mhash_short=[LIKE-GREY], mhash_lshort=V-LIKE-GREY, mhash=mhash=250512-2152V-LIKE-GREY,utc=1747101167.49
  score1=31, score2=24, dur=950.1, team1=cschnorr, team2=chthigpen, winner=cschnorr, mtype=rescue_r2, mhash_short=[BARE-ROME], mhash_lshort=Z-BARE-ROME, mhash=mhash=250512-2153Z-BARE-ROME,utc=1747101230.40
  score1=32, score2=18, dur=950.1, team1=bruno752, team2=jcizu690, winner=bruno752, mtype=rescue_r2, mhash_short=[FOUL-NERO], mhash_lshort=R-FOUL-NERO, mhash=mhash=250512-2154R-FOUL-NERO,utc=1747101293.34
  score1=30, score2=27, dur=551.8, team1=ews2011, team2=chthigpen, winner=ews2011, mtype=rescue_r2, mhash_short=[HIND-ERLE], mhash_lshort=D-HIND-ERLE, mhash=mhash=250512-2155D-HIND-ERLE,utc=1747101356.24
  score1=49, score2=2, dur=950.2, team1=bruno752, team2=cdembski, winner=bruno752, mtype=rescue_r2, mhash_short=[NUDE-INFO], mhash_lshort=B-NUDE-INFO, mhash=mhash=250512-2156B-NUDE-INFO,utc=1747101399.29
  score1=41, score2=6, dur=950.2, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[LAZY-ORLO], mhash_lshort=H-LAZY-ORLO, mhash=mhash=250512-2157H-LAZY-ORLO,utc=1747101462.29
  score1=27, score2=25, dur=603.5, team1=chthigpen, team2=cschnorr, winner=chthigpen, mtype=rescue_r2, mhash_short=[LIKE-HANS], mhash_lshort=U-LIKE-HANS, mhash=mhash=250512-2158U-LIKE-HANS,utc=1747101525.37
  score1=28, score2=26, dur=497.3, team1=cdembski, team2=bertucci, winner=cdembski, mtype=rescue_r2, mhash_short=[REAR-LIFE], mhash_lshort=Z-REAR-LIFE, mhash=mhash=250512-2159Z-REAR-LIFE,utc=1747101571.04
  score1=32, score2=22, dur=950.2, team1=jcizu690, team2=ews2011, winner=jcizu690, mtype=rescue_r2, mhash_short=[WISE-MARK], mhash_lshort=E-WISE-MARK, mhash=mhash=250512-2200E-WISE-MARK,utc=1747101611.37
