  score1=18, score2=2, dur=950.2, team1=jjdrift, team2=mineswp, winner=jjdrift, mtype=rescue_r2, mhash_short=[MILD-GRUB], mhash_lshort=B-MILD-GRUB, mhash=mhash=250512-0050B-MILD-GRUB,utc=1747025409.33
  score1=41, score2=16, dur=754.5, team1=bertucci, team2=chthigpen, winner=bertucci, mtype=rescue_r2, mhash_short=[COLD-BOYD], mhash_lshort=B-COLD-BOYD, mhash=mhash=250512-0051B-COLD-BOYD,utc=1747025475.32
  score1=29, score2=24, dur=950.3, team1=ews2011, team2=chthigpen, winner=ews2011, mtype=rescue_r2, mhash_short=[DANK-GULP], mhash_lshort=J-DANK-GULP, mhash=mhash=250512-0052J-DANK-GULP,utc=1747025531.31
  score1=37, score2=13, dur=522.2, team1=wpirates, team2=ericadam, winner=wpirates, mtype=rescue_r2, mhash_short=[TRUE-HELP], mhash_lshort=B-TRUE-HELP, mhash=mhash=250512-0053B-TRUE-HELP,utc=1747025597.27
  score1=37, score2=18, dur=646.9, team1=jcizu690, team2=ericadam, winner=jcizu690, mtype=rescue_r2, mhash_short=[LIMP-WOLF], mhash_lshort=T-LIMP-WOLF, mhash=mhash=250512-0054T-LIMP-WOLF,utc=1747025641.81
  score1=40, score2=12, dur=950.1, team1=bertucci, team2=wpirates, winner=bertucci, mtype=rescue_r2, mhash_short=[RUDE-MOSS], mhash_lshort=R-RUDE-MOSS, mhash=mhash=250512-0054R-RUDE-MOSS,utc=1747025692.55
  score1=44, score2=12, dur=657.2, team1=jcizu690, team2=chthigpen, winner=jcizu690, mtype=rescue_r2, mhash_short=[RARE-NYLE], mhash_lshort=Z-RARE-NYLE, mhash=mhash=250512-0055Z-RARE-NYLE,utc=1747025758.43
  score1=40, score2=8, dur=950.2, team1=mineswp, team2=bertucci, winner=mineswp, mtype=rescue_r2, mhash_short=[MERE-DUTY], mhash_lshort=P-MERE-DUTY, mhash=mhash=250512-0056P-MERE-DUTY,utc=1747025809.71
  score1=23, score2=22, dur=483.4, team1=bertucci, team2=ericadam, winner=bertucci, mtype=rescue_r2, mhash_short=[DARN-RAND], mhash_lshort=E-DARN-RAND, mhash=mhash=250512-0057E-DARN-RAND,utc=1747025875.67
  score1=41, score2=9, dur=950.2, team1=jjdrift, team2=ews2011, winner=jjdrift, mtype=rescue_r2, mhash_short=[COZY-PAGE], mhash_lshort=H-COZY-PAGE, mhash=mhash=250512-0058H-COZY-PAGE,utc=1747025918.23
  score1=35, score2=21, dur=950.3, team1=mineswp, team2=wpirates, winner=mineswp, mtype=rescue_r2, mhash_short=[NEDS-ROLF], mhash_lshort=P-NEDS-ROLF, mhash=mhash=250512-0059P-NEDS-ROLF,utc=1747025983.96
  score1=26, score2=20, dur=486.2, team1=wpirates, team2=chthigpen, winner=wpirates, mtype=rescue_r2, mhash_short=[KEEN-ROAD], mhash_lshort=D-KEEN-ROAD, mhash=mhash=250512-0100D-KEEN-ROAD,utc=1747026049.73
  score1=25, score2=22, dur=950.2, team1=chthigpen, team2=ews2011, winner=chthigpen, mtype=rescue_r2, mhash_short=[FAST-ROOM], mhash_lshort=A-FAST-ROOM, mhash=mhash=250512-0101A-FAST-ROOM,utc=1747026092.47
  score1=49, score2=1, dur=950.1, team1=bruno752, team2=ews2011, winner=bruno752, mtype=rescue_r2, mhash_short=[POSH-KATO], mhash_lshort=V-POSH-KATO, mhash=mhash=250512-0102V-POSH-KATO,utc=1747026158.47
  score1=29, score2=26, dur=564.7, team1=jcizu690, team2=omg, winner=jcizu690, mtype=rescue_r2, mhash_short=[RICH-CRAB], mhash_lshort=T-RICH-CRAB, mhash=mhash=250512-0103T-RICH-CRAB,utc=1747026224.25
  score1=29, score2=23, dur=950.2, team1=bruno752, team2=bertucci, winner=bruno752, mtype=rescue_r2, mhash_short=[EASY-ZUMA], mhash_lshort=C-EASY-ZUMA, mhash=mhash=250512-0155C-EASY-ZUMA,utc=1747029306.52
